id,first_name,last_name,email,phone_number,password,registered_on,is_verified,is_subscribed,role
08625366-8758-41f3-8c0e-61151ad91abe,Joseph,Mendoza,josephmendoza@gmail.com,640.803.5293x27730,)4BWDwz7rA,2025-09-01,True,True,Client
18e6ca61-ad16-4f1a-82f5-5692f7a8c195,Robert,Burnett,robertburnett@yahoo.com,001-401-903-0226x092,*7DJc!V$4B,2025-08-02,True,False,Admin
a0fe92e6-99f6-401b-9e60-eaeb80592cbb,Crystal,Smith,crystalsmith@yahoo.com,639-377-4620,&stD4qBaG$,2025-08-19,False,False,Admin
75670157-aee9-4c39-baa5-f44155a27bac,Greg,Flores,gregflores@yahoo.com,365.534.4623x04596,b4PI9oQu%A,2025-04-20,False,False,Client
461d1e71-f542-4f61-a432-11fb54972a37,Lauren,Davis,laurendavis@yahoo.com,001-976-502-6371x9489,7i!MDInT!9,2025-01-06,True,True,Admin
5760489e-1900-43b2-832b-afa9fa45d019,Frank,Dunn,frankdunn@gmail.com,207.500.3521x377,!16XWSzhEE,2024-10-06,False,False,Operator
422ebf32-7df9-4db9-8a2f-1ca343bd1b20,Jason,Vaughn,jasonvaughn@yahoo.com,819-493-0840,#DcrYK6^r3,2025-06-02,True,True,Client
ea4e759c-fd57-493d-bed3-0e2b31ce5c04,Sheryl,Baker,sherylbaker@yahoo.com,(868)331-3867x0101,vff2ZkCzn#,2025-02-13,False,False,Operator
a138eb3d-7af0-4465-b994-ece02ed1b7f4,Jessica,Rowe,jessicarowe@gmail.com,(796)377-7972,SuplYT_q(9,2025-05-26,True,True,Admin
067e4116-ea5d-4068-bd14-3071bdfa4c04,Ashley,Jackson,ashleyjackson@gmail.com,(481)592-5448x932,$b*oIGsXW1,2025-02-07,False,False,Admin
b58451dd-efc3-47fd-be82-5a8260905e39,Christian,Hicks,christianhicks@yahoo.com,367.851.5958,$&kTtVu%P0,2025-08-29,False,False,Operator
5a823bd3-68fa-4f79-b2b8-627e4bf2ca5b,Bruce,Green,brucegreen@gmail.com,845-899-9756,^v19uZVaw*,2024-10-25,True,False,Operator
c1f9e349-cacc-409a-9c7e-40c3b8bb62be,Elizabeth,Cooper,elizabethcooper@gmail.com,839-251-5140x2726,)u^hFtm0t9,2024-12-10,False,False,Client
f1192ee6-0eeb-4a6f-bbda-bd5972443a09,Cory,Thompson,corythompson@yahoo.com,(339)707-8200,+@a22ONuZM,2025-07-08,True,False,Admin
a352a5aa-6ada-42ac-9ab3-9f54b7e13d25,Dawn,Trevino,dawntrevino@yahoo.com,591-620-2884x849,#Ig1Jl+w2L,2025-01-31,True,False,Client
89dfc6c7-2339-439d-81ac-efe462656164,Robert,Skinner,robertskinner@yahoo.com,+1-610-966-0947x029,1^LijXgh(W,2025-04-26,False,False,Operator
5735c4a3-555f-4af7-9b73-e533db48f860,Tabitha,Carter,tabithacarter@gmail.com,849.283.9721,*ckA7DvkC),2025-09-02,False,False,Client
71996349-a743-472f-aee5-3d99342cd4ec,William,Martin,williammartin@gmail.com,001-641-384-9421x70733,%mr+Mn_gr8,2024-11-17,True,True,Admin
599f576d-caa6-44fe-8321-738245e455a7,Arthur,Keller,arthurkeller@yahoo.com,619-703-1055x79793,)n8r+YiXm5,2025-03-05,True,False,Operator
260fb98a-543f-4d87-a318-0068adc1a5ba,Rachel,Martinez,rachelmartinez@gmail.com,618.946.1511,2N$7XqOn!o,2025-07-02,True,False,Admin
18a70316-0fd5-4abd-9327-77c966d89d6d,Erik,Hill,erikhill@gmail.com,950.423.0898x460,&8r^^FPlHu,2024-08-22,True,True,Operator
ed6dddfe-22c5-499e-a112-41c02119ad07,Megan,Morrison,meganmorrison@yahoo.com,833-547-5330x339,o3jaM*jf_!,2025-03-22,False,False,Client
963f06d8-dd9a-4327-82fe-a6ed2cc435d3,Lisa,Miranda,lisamiranda@yahoo.com,(583)856-1842,*9Zbp89@)O,2025-01-29,True,False,Operator
485b10d1-7778-4b26-9c47-19d4e25a7a03,Barbara,Humphrey,barbarahumphrey@gmail.com,+1-291-512-0553x529,(2S12qzmo4,2025-03-08,False,False,Operator
